config_id,base0_ambulances,base1_ambulances,base2_ambulances,base3_ambulances,base4_ambulances
0,0,0,0,0,35
1,0,0,0,1,34
2,0,0,0,2,33
3,0,0,0,3,32
4,0,0,0,4,31
5,0,0,0,5,30
6,0,0,0,6,29
7,0,0,0,7,28
8,0,0,0,8,27
9,0,0,0,9,26
10,0,0,0,10,25
11,0,0,0,11,24
12,0,0,0,12,23
13,0,0,0,13,22
14,0,0,0,14,21
15,0,0,0,15,20
16,0,0,0,16,19
17,0,0,0,17,18
18,0,0,0,18,17
19,0,0,0,19,16
20,0,0,0,20,15
21,0,0,0,21,14
22,0,0,0,22,13
23,0,0,0,23,12
24,0,0,0,24,11
25,0,0,0,25,10
26,0,0,0,26,9
27,0,0,0,27,8
28,0,0,0,28,7
29,0,0,0,29,6
30,0,0,0,30,5
31,0,0,0,31,4
32,0,0,0,32,3
33,0,0,0,33,2
34,0,0,0,34,1
35,0,0,0,35,0
36,0,0,1,0,34
37,0,0,1,1,33
38,0,0,1,2,32
39,0,0,1,3,31
40,0,0,1,4,30
41,0,0,1,5,29
42,0,0,1,6,28
43,0,0,1,7,27
44,0,0,1,8,26
45,0,0,1,9,25
46,0,0,1,10,24
47,0,0,1,11,23
48,0,0,1,12,22
49,0,0,1,13,21
50,0,0,1,14,20
51,0,0,1,15,19
52,0,0,1,16,18
53,0,0,1,17,17
54,0,0,1,18,16
55,0,0,1,19,15
56,0,0,1,20,14
57,0,0,1,21,13
58,0,0,1,22,12
59,0,0,1,23,11
60,0,0,1,24,10
61,0,0,1,25,9
62,0,0,1,26,8
63,0,0,1,27,7
64,0,0,1,28,6
65,0,0,1,29,5
66,0,0,1,30,4
67,0,0,1,31,3
68,0,0,1,32,2
69,0,0,1,33,1
70,0,0,1,34,0
71,0,0,2,0,33
72,0,0,2,1,32
73,0,0,2,2,31
74,0,0,2,3,30
75,0,0,2,4,29
76,0,0,2,5,28
77,0,0,2,6,27
78,0,0,2,7,26
79,0,0,2,8,25
80,0,0,2,9,24
81,0,0,2,10,23
82,0,0,2,11,22
83,0,0,2,12,21
84,0,0,2,13,20
85,0,0,2,14,19
86,0,0,2,15,18
87,0,0,2,16,17
88,0,0,2,17,16
89,0,0,2,18,15
90,0,0,2,19,14
91,0,0,2,20,13
92,0,0,2,21,12
93,0,0,2,22,11
94,0,0,2,23,10
95,0,0,2,24,9
96,0,0,2,25,8
97,0,0,2,26,7
98,0,0,2,27,6
99,0,0,2,28,5
100,0,0,2,29,4
101,0,0,2,30,3
102,0,0,2,31,2
103,0,0,2,32,1
104,0,0,2,33,0
105,0,0,3,0,32
106,0,0,3,1,31
107,0,0,3,2,30
108,0,0,3,3,29
109,0,0,3,4,28
110,0,0,3,5,27
111,0,0,3,6,26
112,0,0,3,7,25
113,0,0,3,8,24
114,0,0,3,9,23
115,0,0,3,10,22
116,0,0,3,11,21
117,0,0,3,12,20
118,0,0,3,13,19
119,0,0,3,14,18
120,0,0,3,15,17
121,0,0,3,16,16
122,0,0,3,17,15
123,0,0,3,18,14
124,0,0,3,19,13
125,0,0,3,20,12
126,0,0,3,21,11
127,0,0,3,22,10
128,0,0,3,23,9
129,0,0,3,24,8
130,0,0,3,25,7
131,0,0,3,26,6
132,0,0,3,27,5
133,0,0,3,28,4
134,0,0,3,29,3
135,0,0,3,30,2
136,0,0,3,31,1
137,0,0,3,32,0
138,0,0,4,0,31
139,0,0,4,1,30
140,0,0,4,2,29
141,0,0,4,3,28
142,0,0,4,4,27
143,0,0,4,5,26
144,0,0,4,6,25
145,0,0,4,7,24
146,0,0,4,8,23
147,0,0,4,9,22
148,0,0,4,10,21
149,0,0,4,11,20
150,0,0,4,12,19
151,0,0,4,13,18
152,0,0,4,14,17
153,0,0,4,15,16
154,0,0,4,16,15
155,0,0,4,17,14
156,0,0,4,18,13
157,0,0,4,19,12
158,0,0,4,20,11
159,0,0,4,21,10
160,0,0,4,22,9
161,0,0,4,23,8
162,0,0,4,24,7
163,0,0,4,25,6
164,0,0,4,26,5
165,0,0,4,27,4
166,0,0,4,28,3
167,0,0,4,29,2
168,0,0,4,30,1
169,0,0,4,31,0
170,0,0,5,0,30
171,0,0,5,1,29
172,0,0,5,2,28
173,0,0,5,3,27
174,0,0,5,4,26
175,0,0,5,5,25
176,0,0,5,6,24
177,0,0,5,7,23
178,0,0,5,8,22
179,0,0,5,9,21
180,0,0,5,10,20
181,0,0,5,11,19
182,0,0,5,12,18
183,0,0,5,13,17
184,0,0,5,14,16
185,0,0,5,15,15
186,0,0,5,16,14
187,0,0,5,17,13
188,0,0,5,18,12
189,0,0,5,19,11
190,0,0,5,20,10
191,0,0,5,21,9
192,0,0,5,22,8
193,0,0,5,23,7
194,0,0,5,24,6
195,0,0,5,25,5
196,0,0,5,26,4
197,0,0,5,27,3
198,0,0,5,28,2
199,0,0,5,29,1
200,0,0,5,30,0
201,0,0,6,0,29
202,0,0,6,1,28
203,0,0,6,2,27
204,0,0,6,3,26
205,0,0,6,4,25
206,0,0,6,5,24
207,0,0,6,6,23
208,0,0,6,7,22
209,0,0,6,8,21
210,0,0,6,9,20
211,0,0,6,10,19
212,0,0,6,11,18
213,0,0,6,12,17
214,0,0,6,13,16
215,0,0,6,14,15
216,0,0,6,15,14
217,0,0,6,16,13
218,0,0,6,17,12
219,0,0,6,18,11
220,0,0,6,19,10
221,0,0,6,20,9
222,0,0,6,21,8
223,0,0,6,22,7
224,0,0,6,23,6
225,0,0,6,24,5
226,0,0,6,25,4
227,0,0,6,26,3
228,0,0,6,27,2
229,0,0,6,28,1
230,0,0,6,29,0
231,0,0,7,0,28
232,0,0,7,1,27
233,0,0,7,2,26
234,0,0,7,3,25
235,0,0,7,4,24
236,0,0,7,5,23
237,0,0,7,6,22
238,0,0,7,7,21
239,0,0,7,8,20
240,0,0,7,9,19
241,0,0,7,10,18
242,0,0,7,11,17
243,0,0,7,12,16
244,0,0,7,13,15
245,0,0,7,14,14
246,0,0,7,15,13
247,0,0,7,16,12
248,0,0,7,17,11
249,0,0,7,18,10
